"","gene_id","n"
"920","ENSG00000135018",2
"921","ENSG00000135069",3
"922","ENSG00000135108",2
"923","ENSG00000135298",2
"924","ENSG00000135334",2
"925","ENSG00000135363",3
"926","ENSG00000135387",2
"927","ENSG00000135390",4
"928","ENSG00000135404",4
"929","ENSG00000135424",3
"930","ENSG00000135439",4
"931","ENSG00000135441",2
"932","ENSG00000135447",4
"933","ENSG00000135454",4
"934","ENSG00000135472",4
"935","ENSG00000135486",3
"936","ENSG00000135519",2
"937","ENSG00000135624",2
"938","ENSG00000135625",2
"939","ENSG00000135643",3
"940","ENSG00000135709",4
"941","ENSG00000135720",3
"942","ENSG00000135744",4
"943","ENSG00000135750",4
"944","ENSG00000135821",4
"945","ENSG00000135905",2
"946","ENSG00000135916",4
"947","ENSG00000135924",3
"948","ENSG00000135932",3
"949","ENSG00000135940",4
"950","ENSG00000136002",3
"951","ENSG00000136003",4
"952","ENSG00000136099",4
"953","ENSG00000136156",4
"954","ENSG00000136237",4
"955","ENSG00000136238",3
"956","ENSG00000136267",2
"957","ENSG00000136531",4
"958","ENSG00000136541",4
"959","ENSG00000136717",4
"960","ENSG00000136750",4
"961","ENSG00000136754",4
"962","ENSG00000136810",3
"963","ENSG00000136813",4
"964","ENSG00000136854",4
"965","ENSG00000136888",2
"966","ENSG00000136928",4
"967","ENSG00000136930",3
"968","ENSG00000136942",4
"969","ENSG00000136950",4
"970","ENSG00000136960",4
"971","ENSG00000136999",3
"972","ENSG00000137100",3
"973","ENSG00000137154",4
"974","ENSG00000137216",2
"975","ENSG00000137267",4
"976","ENSG00000137285",3
"977","ENSG00000137312",3
"978","ENSG00000137409",4
"979","ENSG00000137575",4
"980","ENSG00000137642",3
"981","ENSG00000137710",2
"982","ENSG00000137726",4
"983","ENSG00000137766",2
"984","ENSG00000137818",4
"985","ENSG00000137825",2
"986","ENSG00000137876",2
"987","ENSG00000137941",3
"988","ENSG00000138028",2
"989","ENSG00000138029",2
"990","ENSG00000138069",2
"991","ENSG00000138071",4
"992","ENSG00000138078",4
"993","ENSG00000138101",2
"994","ENSG00000138107",4
