"","gene_id","gene_name","overall_rank","average_rank","n_withinTop2000"
"ENSG00000180828","ENSG00000180828","BHLHE22",769,1036.75,4
"ENSG00000196104","ENSG00000196104","SPOCK3",770,1037.5,4
"ENSG00000134072","ENSG00000134072","CAMK1",771,1037.75,4
"ENSG00000135750","ENSG00000135750","KCNK1",772,1038.5,4
"ENSG00000120265","ENSG00000120265","PCMT1",773,1039.75,4
"ENSG00000240771","ENSG00000240771","ARHGEF25",774,1040.25,4
"ENSG00000170915","ENSG00000170915","PAQR8",775.5,1043.75,4
"ENSG00000135404","ENSG00000135404","CD63",775.5,1043.75,4
"ENSG00000074211","ENSG00000074211","PPP2R2C",777,1044.75,4
"ENSG00000166173","ENSG00000166173","LARP6",778,1045.5,4
"ENSG00000145423","ENSG00000145423","SFRP2",779,1050.5,4
"ENSG00000241468","ENSG00000241468","ATP5MF",780,1051.75,4
"ENSG00000170345","ENSG00000170345","FOS",781,1052.25,3
"ENSG00000179222","ENSG00000179222","MAGED1",782,1053,4
"ENSG00000182670","ENSG00000182670","TTC3",783,1053.75,4
"ENSG00000172260","ENSG00000172260","NEGR1",784,1054,4
"ENSG00000168952","ENSG00000168952","STXBP6",785,1054.5,4
"ENSG00000131437","ENSG00000131437","KIF3A",786,1055.75,4
"ENSG00000169035","ENSG00000169035","KLK7",787,1056.75,4
"ENSG00000166912","ENSG00000166912","MTMR10",788,1059.75,4
"ENSG00000179456","ENSG00000179456","ZBTB18",789,1062,4
"ENSG00000101489","ENSG00000101489","CELF4",790,1062.5,4
"ENSG00000125868","ENSG00000125868","DSTN",791,1063.75,4
"ENSG00000113387","ENSG00000113387","SUB1",792,1064.25,4
"ENSG00000260001","ENSG00000260001","TGFBR3L",793,1065,4
"ENSG00000198830","ENSG00000198830","HMGN2",794.5,1066.25,4
"ENSG00000114993","ENSG00000114993","RTKN",794.5,1066.25,4
"ENSG00000100095","ENSG00000100095","SEZ6L",796,1068.25,4
"ENSG00000013016","ENSG00000013016","EHD3",797,1069.25,4
"ENSG00000115380","ENSG00000115380","EFEMP1",798,1071.75,3
"ENSG00000111696","ENSG00000111696","NT5DC3",799,1073.75,4
